City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Acapulco,MX,16.8634,-99.8901,83.5,60,0,5.03,clear sky
157,Kamenka,RU,51.3223,42.7678,16.23,80,19,7.38,few clouds
158,Khani,GE,41.9563,42.9566,36.97,74,95,3.94,overcast clouds
159,Price,US,39.5994,-110.8107,38.46,41,0,5.75,clear sky
160,Phalaborwa,ZA,-23.943,31.1411,76.28,74,47,10.11,scattered clouds
161,Gasa,PS,31.5,34.4667,60.87,65,30,1.63,scattered clouds
162,Tera,NE,14.0078,0.7531,87.06,13,85,9.62,overcast clouds
163,Port Hardy,CA,50.6996,-127.4199,33.98,100,100,2.3,light rain
164,Bredasdorp,ZA,-34.5322,20.0403,63.93,59,5,5.37,clear sky
165,Belmonte,BR,-15.8631,-38.8828,80.02,68,36,8.19,scattered clouds
166,Vao,NC,-22.6667,167.4833,75.7,89,99,6.35,overcast clouds
167,Ust-Uda,RU,54.1742,103.0304,13.41,85,100,12.53,overcast clouds
168,Coihaique,CL,-45.5752,-72.0662,59.61,51,100,13.8,overcast clouds
169,Bathsheba,BB,13.2167,-59.5167,84.81,58,20,8.05,few clouds
170,Fairbanks,US,64.8378,-147.7164,23.92,89,100,0.0,overcast clouds
171,Mahebourg,MU,-20.4081,57.7,77.29,83,40,11.5,light rain
172,Ampanihy,MG,-24.7,44.75,78.28,74,90,8.66,moderate rain
173,Port-Gentil,GA,-0.7193,8.7815,80.56,89,75,3.44,moderate rain
174,Lasa,IT,46.6166,10.7002,36.48,65,54,3.67,broken clouds
175,Blairmore,CA,49.6,-114.4353,1.58,71,100,9.22,overcast clouds
176,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,69,40,16.11,scattered clouds
177,Chuy,UY,-33.6971,-53.4616,81.1,47,0,10.36,clear sky
178,Kropotkin,RU,45.4375,40.5756,27.99,59,5,17.76,clear sky
179,Sandnessjoen,NO,66.0217,12.6316,28.51,86,75,9.22,snow
180,Makakilo City,US,21.3469,-158.0858,74.44,83,40,0.0,scattered clouds
181,Gusau,NG,12.1628,6.6614,79.43,18,11,9.01,few clouds
182,Rorvik,NO,64.8621,11.2373,28.51,80,40,3.44,light snow
183,Katherine,AU,-14.4667,132.2667,79.12,73,74,0.0,broken clouds
184,Aloleng,PH,16.1307,119.7824,79.56,80,23,5.97,few clouds
185,Mittagong,AU,-34.45,150.45,49.93,98,67,2.55,broken clouds
186,Sao Filipe,CV,14.8961,-24.4956,74.26,70,4,5.19,clear sky
187,Tiarei,PF,-17.5333,-149.3333,78.82,79,28,19.57,light rain
188,Pevek,RU,69.7008,170.3133,9.52,91,100,2.98,overcast clouds
189,Puerto Ayora,EC,-0.7393,-90.3518,76.96,85,85,7.0,overcast clouds
190,Tukrah,LY,32.5341,20.5791,66.92,48,57,5.64,broken clouds
191,Shahrud,IR,36.4182,54.9763,33.58,61,46,3.62,scattered clouds
192,Panzhihua,CN,26.5851,101.7128,49.05,67,0,1.61,clear sky
193,Kavieng,PG,-2.5744,150.7967,81.19,75,100,6.33,overcast clouds
194,Denpasar,ID,-8.65,115.2167,82.06,74,40,4.61,scattered clouds
195,Blyth,GB,55.1271,-1.5086,40.46,91,40,6.91,scattered clouds
196,San Francisco,US,37.7749,-122.4194,52.86,84,75,10.0,broken clouds
197,Mabaruma,GY,8.2,-59.7833,82.45,72,86,4.56,overcast clouds
198,Mahajanga,MG,-15.7167,46.3167,82.42,74,20,2.3,few clouds
199,Mineiros,BR,-17.5694,-52.5511,80.92,51,96,9.48,overcast clouds
200,Le Port,RE,-20.9373,55.2919,78.8,67,53,5.26,broken clouds
