City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Aksu,CN,2022-12-01 01:46:58,41.1231,80.2644,15.3,20,26,3.69
229,Staraya Mayna,RU,2022-12-01 01:46:58,54.6,48.95,12.31,94,26,2.26
230,Ruteng,ID,2022-12-01 01:46:59,-8.6136,120.4721,76.21,57,65,2.46
231,Yueyang,CN,2022-12-01 01:46:59,29.3333,113.0919,30.11,84,100,11.92
232,Flin Flon,CA,2022-12-01 01:42:33,54.7682,-101.865,-10.84,92,100,4.41
233,Boali,CF,2022-12-01 01:47:00,4.8005,18.1275,69.85,98,100,1.25
234,Kawambwa,ZM,2022-12-01 01:47:00,-9.7915,29.0791,61.03,98,96,3.22
235,Bagotville,AU,2022-12-01 01:47:00,-28.9833,153.4167,60.85,99,100,17.83
236,Te Anau,NZ,2022-12-01 01:47:01,-45.4167,167.7167,62.56,40,38,6.64
237,Dali,CN,2022-12-01 01:47:01,25.7,100.1833,55.69,70,5,3.29
238,Vostok,RU,2022-12-01 01:47:02,46.4856,135.8833,-3.77,89,100,13.27
239,Zalantun,CN,2022-12-01 01:47:02,48.0,122.7167,-1.91,64,10,11.18
240,Smithers,CA,2022-12-01 01:47:03,54.7804,-127.1743,8.92,43,40,9.22
241,Abbotsford,CA,2022-12-01 01:44:24,49.058,-122.2526,36.16,89,40,4.61
242,Baruun-Urt,MN,2022-12-01 01:44:04,46.6806,113.2792,-5.53,71,1,13.56
243,Tilichiki,RU,2022-12-01 01:47:04,60.4667,166.1,32.31,98,100,27.13
244,Lompoc,US,2022-12-01 01:47:04,34.6391,-120.4579,56.79,84,100,5.75
245,Zhigansk,RU,2022-12-01 01:47:05,66.7697,123.3711,-29.63,98,84,7.83
246,Fortuna,US,2022-12-01 01:47:05,40.5982,-124.1573,49.35,93,100,16.11
247,Laguna,US,2022-12-01 01:47:05,38.421,-121.4238,55.38,61,0,4.61
248,Provideniya,RU,2022-12-01 01:47:06,64.3833,-173.3,28.51,74,0,4.47
249,Oussouye,SN,2022-12-01 01:47:06,12.485,-16.5469,74.73,66,33,6.71
250,Ust-Kulom,RU,2022-12-01 01:47:07,61.6864,53.6902,3.4,99,86,2.48
251,Garowe,SO,2022-12-01 01:47:07,8.4054,48.4845,70.45,78,11,6.29
252,Aswan,EG,2022-12-01 01:47:07,24.0934,32.907,63.59,50,19,8.28
253,Aykhal,RU,2022-12-01 01:47:08,66.0,111.5,-24.3,97,100,17.13
254,Pisco,PE,2022-12-01 01:47:08,-13.7,-76.2167,66.25,82,0,19.57
255,Alofi,NU,2022-12-01 01:47:08,-19.0595,-169.9187,85.89,70,40,6.91
256,Chernyshevskiy,RU,2022-12-01 01:47:09,63.0128,112.4714,-27.78,98,97,3.89
257,Talakan,RU,2022-12-01 01:47:09,50.3167,130.3667,-13.41,89,71,4.0
258,Matay,EG,2022-12-01 01:47:10,28.419,30.7792,58.73,52,0,2.44
259,Bonfim,BR,2022-12-01 01:47:10,3.0833,-59.95,77.79,73,90,7.9
260,Dundee,GB,2022-12-01 01:45:54,56.5,-2.9667,40.24,100,100,4.61
261,Loukhi,RU,2022-12-01 01:47:11,66.0764,33.0381,26.15,96,100,5.1
262,Tiarei,PF,2022-12-01 01:47:11,-17.5333,-149.3333,86.02,81,14,14.9
263,Alta Floresta,BR,2022-12-01 01:47:11,-9.8756,-56.0861,70.57,94,70,1.36
264,Flinders,AU,2022-12-01 01:47:12,-34.5833,150.8552,69.26,63,100,9.17
265,Usinsk,RU,2022-12-01 01:47:12,65.9939,57.5281,-12.14,100,100,4.34
266,Spring Valley,US,2022-12-01 01:47:12,36.108,-115.245,52.99,26,20,3.44
267,Miyako,JP,2022-12-01 01:47:13,39.6367,141.9525,38.68,64,100,3.44
268,Dingle,PH,2022-12-01 01:47:13,10.9995,122.6711,82.4,78,87,14.52
269,Matagami,CA,2022-12-01 01:47:14,49.7502,-77.6328,30.31,74,100,13.8
270,Ariquemes,BR,2022-12-01 01:48:14,-9.9133,-63.0408,74.64,89,95,2.13
271,Samarai,PG,2022-12-01 01:48:14,-10.6167,150.6667,84.27,74,100,3.33
272,Kirkenes,NO,2022-12-01 01:48:15,69.7271,30.0458,34.02,86,100,9.22
273,Crotone,IT,2022-12-01 01:48:15,39.0851,17.1178,55.18,85,100,27.31
274,Tessalit,ML,2022-12-01 01:48:15,20.1986,1.0114,67.1,22,22,6.11
275,Olafsvik,IS,2022-12-01 01:48:16,64.8945,-23.7142,43.27,85,47,32.28
276,Bagua Grande,PE,2022-12-01 01:48:16,-5.7561,-78.4411,79.52,55,84,2.71
277,Deputatskiy,RU,2022-12-01 01:48:17,69.3,139.9,-13.97,99,100,3.04
278,Yeniseysk,RU,2022-12-01 01:48:17,58.4497,92.1703,-0.74,92,100,9.28
279,Micheweni,TZ,2022-12-01 01:48:17,-4.9667,39.8333,77.47,83,89,5.7
280,Taitung,TW,2022-12-01 01:48:18,22.7583,121.1444,73.67,73,75,6.91
281,Jacareacanga,BR,2022-12-01 01:48:18,-6.2222,-57.7528,74.32,93,100,0.92
282,Nalut,LY,2022-12-01 01:44:13,30.3333,10.85,48.07,52,5,4.52
283,Mahebourg,MU,2022-12-01 01:48:19,-20.4081,57.7,73.26,94,75,3.44
284,Chuy,UY,2022-12-01 01:48:19,-33.6971,-53.4616,68.94,91,37,13.11
285,Bathsheba,BB,2022-12-01 01:44:10,13.2167,-59.5167,79.41,78,40,9.22
286,Masallatah,LY,2022-12-01 01:48:19,32.6167,14.0,56.03,56,67,13.87
287,Colares,PT,2022-12-01 01:48:20,38.7992,-9.4469,54.75,95,100,13.0
288,Grindavik,IS,2022-12-01 01:48:20,63.8424,-22.4338,44.55,87,75,29.93
289,Nouakchott,MR,2022-12-01 01:47:31,18.0858,-15.9785,64.33,46,6,12.55
290,Nizhniy Baskunchak,RU,2022-12-01 01:48:21,48.2198,46.8311,23.31,42,0,8.7
291,Atar,MR,2022-12-01 01:48:21,20.5169,-13.0499,68.56,18,4,5.93
292,Touros,BR,2022-12-01 01:44:10,-5.1989,-35.4608,78.35,71,97,10.29
293,Victoria,HK,2022-12-01 01:48:22,22.2855,114.1577,61.32,75,100,11.01
294,Tandil,AR,2022-12-01 01:45:24,-37.3217,-59.1332,56.68,97,100,9.08
